no,annex,instrument,description,stat_type,universe,breakdown,weight,source_variables,mapping_status,notes
2.38b,2,F3,Percentage distribution of outpatient respondents that ride a public bus as mode of transportation used on going to the nearest health facility for the latest visit,percent distribution,outpatients,none stated,patient wf,Q73_NEAREST_TRANSPORT,mapped,(checkbox multi) Public Bus=code 03 of ONE multi-select Q73 (see 2.36)
2.39a,2,F3,Percentage distribution of inpatient respondents that ride a jeepney as mode of transportation used on going to the nearest health facility for the latest visit,percent distribution,inpatients,none stated,patient wf,Q73_NEAREST_TRANSPORT,mapped,(checkbox multi) Jeepney=code 04 of ONE multi-select Q73 (see 2.36)
2.39b,2,F3,Percentage distribution of outpatient respondents that ride a jeepney as mode of transportation used on going to the nearest health facility for the latest visit,percent distribution,outpatients,none stated,patient wf,Q73_NEAREST_TRANSPORT,mapped,(checkbox multi) Jeepney=code 04 of ONE multi-select Q73 (see 2.36)
2.40a,2,F3,Percentage distribution of inpatient respondents that ride a tricycle as mode of transportation used on going to the nearest health facility for the latest visit,percent distribution,inpatients,none stated,patient wf,Q73_NEAREST_TRANSPORT,mapped,(checkbox multi) Tricycle=code 05 of ONE multi-select Q73 (see 2.36)
2.40b,2,F3,Percentage distribution of outpatient respondents that ride a tricycle as mode of transportation used on going to the nearest health facility for the latest visit,percent distribution,outpatients,none stated,patient wf,Q73_NEAREST_TRANSPORT,mapped,(checkbox multi) Tricycle=code 05 of ONE multi-select Q73 (see 2.36)
2.41a,2,F3,Percentage distribution of inpatient respondents that ride a car as mode of transportation used on going to the nearest health facility for the latest visit,percent distribution,inpatients,none stated,patient wf,Q73_NEAREST_TRANSPORT,mapped,(checkbox multi) Car incl. private taxi=code 06 of ONE multi-select Q73 (see 2.36)
2.41b,2,F3,Percentage distribution of outpatient respondents that ride a car as mode of transportation used on going to the nearest health facility for the latest visit,percent distribution,outpatients,none stated,patient wf,Q73_NEAREST_TRANSPORT,mapped,(checkbox multi) Car incl. private taxi=code 06 of ONE multi-select Q73 (see 2.36)
2.42a,2,F3,Percentage distribution of inpatient respondents that ride a motorcycle as mode of transportation used on going to the nearest health facility for the latest visit,percent distribution,inpatients,none stated,patient wf,Q73_NEAREST_TRANSPORT,mapped,(checkbox multi) Motorcycle=code 07 of ONE multi-select Q73 (see 2.36)
2.42b,2,F3,Percentage distribution of outpatient respondents that ride a motorcycle as mode of transportation used on going to the nearest health facility for the latest visit,percent distribution,outpatients,none stated,patient wf,Q73_NEAREST_TRANSPORT,mapped,(checkbox multi) Motorcycle=code 07 of ONE multi-select Q73 (see 2.36)
2.43a,2,F3,Percentage distribution of inpatient respondents that ride a boat as mode of transportation used on going to the nearest health facility for the latest visit,percent distribution,inpatients,none stated,patient wf,Q73_NEAREST_TRANSPORT,mapped,(checkbox multi) Boat=code 08 of ONE multi-select Q73 (see 2.36)
2.43b,2,F3,Percentage distribution of outpatient respondents that ride a boat as mode of transportation used on going to the nearest health facility for the latest visit,percent distribution,outpatients,none stated,patient wf,Q73_NEAREST_TRANSPORT,mapped,(checkbox multi) Boat=code 08 of ONE multi-select Q73 (see 2.36)
2.44a,2,F3,Percentage distribution of inpatient respondents that ride a taxi as mode of transportation used on going to the nearest health facility for the latest visit,percent distribution,inpatients,none stated,patient wf,Q73_NEAREST_TRANSPORT,mapped,(checkbox multi) Taxi=code 09 of ONE multi-select Q73 (see 2.36)
2.44b,2,F3,Percentage distribution of outpatient respondents that ride a taxi as mode of transportation used on going to the nearest health facility for the latest visit,percent distribution,outpatients,none stated,patient wf,Q73_NEAREST_TRANSPORT,mapped,(checkbox multi) Taxi=code 09 of ONE multi-select Q73 (see 2.36)
2.45a,2,F3,Percentage distribution of inpatient respondents that ride a pedicab as mode of transportation used on going to the nearest health facility for the latest visit,percent distribution,inpatients,none stated,patient wf,Q73_NEAREST_TRANSPORT,mapped,(checkbox multi) Pedicab=code 10 of ONE multi-select Q73 (see 2.36)
2.45b,2,F3,Percentage distribution of outpatient respondents that ride a pedicab as mode of transportation used on going to the nearest health facility for the latest visit,percent distribution,outpatients,none stated,patient wf,Q73_NEAREST_TRANSPORT,mapped,(checkbox multi) Pedicab=code 10 of ONE multi-select Q73 (see 2.36)
2.46a,2,F3,Percentage distribution of inpatient respondents that ride an E-bike as mode of transportation used on going to the nearest health facility for the latest visit,percent distribution,inpatients,none stated,patient wf,Q73_NEAREST_TRANSPORT,mapped,(checkbox multi) E-bike=code 11 of ONE multi-select Q73 (see 2.36)
2.46b,2,F3,Percentage distribution of outpatient respondents that ride an E-bike as mode of transportation used on going to the nearest health facility for the latest visit,percent distribution,outpatients,none stated,patient wf,Q73_NEAREST_TRANSPORT,mapped,(checkbox multi) E-bike=code 11 of ONE multi-select Q73 (see 2.36)
2.47a,2,F3,Responsiveness score summary for inpatient respondents,score,inpatients,none stated,patient wf,"Q131_AMEN_WAITING,Q132_AMEN_BATHROOMS,Q133_AMEN_CONSULT_ROOMS,Q134_AMEN_ROOMS,Q135_SAT_OVERALL_TIME,Q136_STAFF_COURTESY,Q137_STAFF_LISTEN,Q138_STAFF_EXPLAIN,Q139_STAFF_DECIDE,Q140_STAFF_CONSENT,Q141_CONFIDENTIALITY,Q142_PRIVACY",partial,derived indicator (responsiveness score) from Section J items; Q134 rooms=inpatient only
2.47b,2,F3,Responsiveness score summary for outpatient respondents,score,outpatients,none stated,patient wf,"Q131_AMEN_WAITING,Q132_AMEN_BATHROOMS,Q133_AMEN_CONSULT_ROOMS,Q135_SAT_OVERALL_TIME,Q136_STAFF_COURTESY,Q137_STAFF_LISTEN,Q138_STAFF_EXPLAIN,Q139_STAFF_DECIDE,Q140_STAFF_CONSENT,Q141_CONFIDENTIALITY,Q142_PRIVACY",partial,derived indicator (responsiveness score) from Section J items; Q134 rooms excluded for outpatients
2.48a,2,F3,"Respect for Persons Domains: Dignity, Autonomy, Confidentiality for inpatient respondents",score,inpatients,none stated,patient wf,"Q136_STAFF_COURTESY,Q139_STAFF_DECIDE,Q140_STAFF_CONSENT,Q141_CONFIDENTIALITY,Q142_PRIVACY",partial,"derived indicator: dignity=Q136/Q142, autonomy=Q139/Q140, confidentiality=Q141"
2.48b,2,F3,"Respect for Persons Domains: Dignity, Autonomy, Confidentiality for outpatient respondents",score,outpatients,none stated,patient wf,"Q136_STAFF_COURTESY,Q139_STAFF_DECIDE,Q140_STAFF_CONSENT,Q141_CONFIDENTIALITY,Q142_PRIVACY",partial,"derived indicator: dignity=Q136/Q142, autonomy=Q139/Q140, confidentiality=Q141"
2.49a,2,F3,"Respect for Persons Domains: Dignity, Autonomy, Confidentiality for inpatient respondents",score,inpatients,none stated,patient wf,"Q136_STAFF_COURTESY,Q139_STAFF_DECIDE,Q140_STAFF_CONSENT,Q141_CONFIDENTIALITY,Q142_PRIVACY",partial,"duplicate description as printed (same as Table 2.48a) | as printed, duplicates 2.48; derived indicator (see 2.48)"
2.49b,2,F3,"Respect for Persons Domains: Dignity, Autonomy, Confidentiality for outpatient respondents",score,outpatients,none stated,patient wf,"Q136_STAFF_COURTESY,Q139_STAFF_DECIDE,Q140_STAFF_CONSENT,Q141_CONFIDENTIALITY,Q142_PRIVACY",partial,"duplicate description as printed (same as Table 2.48b) | as printed, duplicates 2.48; derived indicator (see 2.48)"
2.50a,2,F3,"Overall inpatient experience score across levels of facility, socioeconomic status, place of residence, and sex, for their most recent encounter",score,inpatients,by facility level × SES × residence × sex,patient wf,"Q135_SAT_OVERALL_TIME,Q136_STAFF_COURTESY,Q137_STAFF_LISTEN,Q138_STAFF_EXPLAIN,Q139_STAFF_DECIDE,Q140_STAFF_CONSENT,Q141_CONFIDENTIALITY,Q142_PRIVACY,Q143_RECOMMEND,Q144_QUALITY",partial,"derived indicator (experience score) from Section J; dims: SES=Q29_SEC_CLASS, sex=Q7_SEX, residence=P_* geo, facility level=frame"
2.50b,2,F3,"Overall outpatient experience score across levels of facility, socioeconomic status, place of residence, and sex, for their most recent encounter",score,outpatients,by facility level × SES × residence × sex,patient wf,"Q135_SAT_OVERALL_TIME,Q136_STAFF_COURTESY,Q137_STAFF_LISTEN,Q138_STAFF_EXPLAIN,Q139_STAFF_DECIDE,Q140_STAFF_CONSENT,Q141_CONFIDENTIALITY,Q142_PRIVACY,Q143_RECOMMEND,Q144_QUALITY",partial,"derived indicator (experience score) from Section J; dims: SES=Q29_SEC_CLASS, sex=Q7_SEX, residence=P_* geo, facility level=frame"
2.51,2,F3,Average out-of-pocket payments on rooms of inpatient and outpatient respondents,average,inpatients+outpatients,none stated,patient wf,,gap,no room/board OOP item on F3; 115.1/97.1 bill itemizations lack rooms; bill rosters are by pay source not line item
2.52,2,F3,Average out-of-pocket payments on consultation of inpatient and outpatient respondents,average,inpatients+outpatients,none stated,patient wf,"Q92_PAY_SRC,Q92_PAY_AMT,Q1141_1_AMT",partial,(roster) OPD direct=OOP rows of Q92 roster; inpatient proxy=115.1 doctor's PF amount
2.53,2,F3,Average out-of-pocket payments on laboratory tests of inpatient and outpatient respondents,average,inpatients+outpatients,none stated,patient wf,"Q94_LAB_PAY,Q94_LAB_AMT,Q1141_4_AMT,Q112_PAY_AMT",mapped,(roster) OPD per-test Q94; IPD=115.1 diagnostics + outside-services Q112 OOP rows
2.54,2,F3,Average out-of-pocket payments on prescribed medicines of inpatient and outpatient respondents,average,inpatients+outpatients,none stated,patient wf,"Q96_PAY_SRC,Q96_PAY_AMT,Q109_PAY_SRC,Q109_PAY_AMT,Q1141_5_AMT",mapped,(roster) OPD Q96; IPD outside-meds Q109 + 115.1 in-bill medicines; OOP rows only
2.55,2,F3,Percentage distribution of inpatient and outpatient respondents who have heard about ZBB,percent distribution,inpatients+outpatients,none stated,patient wf,Q119_ZBB_HEARD,mapped,split via PATIENT_TYPE (see 2.1)
2.56a,2,F3,Percentage distribution of inpatient respondents’ top information sources about ZBB,percent distribution,inpatients,none stated,patient wf,Q120_ZBB_SOURCE,mapped,(checkbox multi)
2.56b,2,F3,Percentage distribution of outpatient respondents’ top information sources about ZBB,percent distribution,outpatients,none stated,patient wf,Q120_ZBB_SOURCE,mapped,(checkbox multi)
2.57a,2,F3,Percentage distribution of inpatient respondents who can correctly identify the benefits under ZBB,percent distribution,inpatients,none stated,patient wf,Q121_ZBB_UNDERSTAND,mapped,(checkbox multi) correctness scored from codes
2.57b,2,F3,Percentage distribution of outpatient respondents who can correctly identify the benefits under ZBB,percent distribution,outpatients,none stated,patient wf,Q121_ZBB_UNDERSTAND,mapped,(checkbox multi) correctness scored from codes
2.58,2,F3,Percentage distribution of inpatient and outpatient respondents who have heard about BUCAS,percent distribution,inpatients+outpatients,none stated,patient wf,Q99_BUCAS_HEARD,mapped,asked only where AREA_HAS_BUCAS=1; split via PATIENT_TYPE (see 2.1)
2.59a,2,F3,Percentage distribution of inpatient respondents’ top information sources about BUCAS,percent distribution,inpatients,none stated,patient wf,Q100_BUCAS_SOURCE,mapped,(checkbox multi)
2.59b,2,F3,Percentage distribution of outpatient respondents’ top information sources about BUCAS,percent distribution,outpatients,none stated,patient wf,Q100_BUCAS_SOURCE,mapped,(checkbox multi)
2.60a,2,F3,Percentage distribution of inpatient respondents who can identify the benefits under BUCAS,percent distribution,inpatients,none stated,patient wf,Q101_BUCAS_UNDERSTAND,mapped,(checkbox multi) benefit identification scored from codes
2.60b,2,F3,Percentage distribution of outpatient respondents who can identify the benefits under BUCAS,percent distribution,outpatients,none stated,patient wf,Q101_BUCAS_UNDERSTAND,mapped,(checkbox multi) benefit identification scored from codes
2.61a,2,F3,Percentage distribution of inpatient respondents’ most commonly accessed services in BUCAS,percent distribution,inpatients,none stated,patient wf,"Q103_BUCAS_SERVICES,Q102_BUCAS_ACCESSED",mapped,(checkbox multi) universe filter Q102=Yes
2.61b,2,F3,Percentage distribution of outpatient respondents’ most commonly accessed services in BUCAS,percent distribution,outpatients,none stated,patient wf,"Q103_BUCAS_SERVICES,Q102_BUCAS_ACCESSED",mapped,(checkbox multi) universe filter Q102=Yes
2.62,2,F3,Percentage distribution of inpatient and outpatient respondents who have heard about GAMOT,percent distribution,inpatients+outpatients,none stated,patient wf,Q152_GAMOT_HEARD,mapped,asked only where AREA_HAS_GAMOT=1; split via PATIENT_TYPE (see 2.1)
2.63a,2,F3,Percentage distribution of inpatient respondents’ top information sources about GAMOT,percent distribution,inpatients,none stated,patient wf,Q153_GAMOT_SOURCE,mapped,(checkbox multi)
2.63b,2,F3,Percentage distribution of outpatient respondents’ top information sources about GAMOT,percent distribution,outpatients,none stated,patient wf,Q153_GAMOT_SOURCE,mapped,(checkbox multi)
2.64a,2,F3,Percentage distribution of inpatient respondents who can correctly identify the benefits under GAMOT,percent distribution,inpatients,none stated,patient wf,Q154_GAMOT_UNDERSTAND,mapped,(checkbox multi) correctness scored from codes
2.64b,2,F3,Percentage distribution of outpatient respondents who can correctly identify the benefits under GAMOT,percent distribution,outpatients,none stated,patient wf,Q154_GAMOT_UNDERSTAND,mapped,(checkbox multi) correctness scored from codes
2.65,2,F3,Descriptive statistics of socio-demographic characteristics of the inpatient and outpatient respondents,descriptive stats,inpatients+outpatients,none stated,patient wf,"Q6_AGE,Q7_SEX,Q9_GROUP,Q10_CIVIL_STATUS,Q11_PWD,Q15_EDUCATION,Q16_EMPLOYMENT,Q17_INCOME_SOURCE,Q18_INCOME_BRACKET,Q19_HH_SIZE,Q29_SEC_CLASS,Q30_IP,Q32_4PS",mapped,Section B profile battery; add Q8_LGBTQIA/asset items Q22-Q28 as needed
3.1,3,F4,"Percent of household respondents who have heard about UHC, by province",percent,households,by province,household wf,"Q51_UHC_HEARD, PROVINCE_HUC",mapped,'By province' for all Annex-3 tables = PSGC geo block PROVINCE_HUC (codebook province_code); id-block PROVINCE_HUC_CODE equivalent
3.2,3,F4,"Percent distribution of source of information about UHC of household respondents, by province",percent distribution,households,by province,household wf,"Q52_UHC_SOURCE, Q52_UHC_SOURCE_OTHER_TXT",mapped,(checkbox multi)
3.3,3,F4,"Percent distribution of household respondents who identify as registered to PhilHealth, by province",percent distribution,households,by province,household wf,Q45_PHILHEALTH_REG,mapped,Q45 is roster-level; use respondent's own roster row (ambiguous respondent vs all-member rate)
3.4,3,F4,"Percentage distribution of household respondents that are unregistered who know where to seek assistance for the registration process, by province",percent distribution,unregistered households,by province,household wf,"Q83_KNOWS_ASSIST, Q45_PHILHEALTH_REG",mapped,Unregistered universe = respondent roster row Q45=02 No; Q84_WHERE_ASSIST gives where
3.5,3,F4,"Percentage distribution of household respondents’ source of information on PhilHealth registration, by province",percent distribution,households,by province,household wf,"Q79_REG_SOURCE, Q79_REG_SOURCE_OTHER_TXT",mapped,"Single-select (numeric), not checkbox"
3.6,3,F4,"Percentage distribution of household respondents who can correctly list PhilHealth benefits under UHC reforms, by province",percent distribution,households,by province,household wf,"Q85_BENEFITS, Q85_BENEFITS_OTHER_TXT",mapped,(checkbox multi); 'correctly list' scoring derived at analysis vs codes 01-03
3.7,3,F4,"Percentage distribution of household respondents who have heard about YAKAP/Konsulta provider assignment under UHC, by province",percent distribution,households,by province,household wf,Q54_YAKAP_HEARD,mapped,Q54 asks package awareness; 'provider assignment' wording not asked verbatim
3.8,3,F4,Percentage distribution of household respondents who can identify the benefits under the PhilHealth YAKAP/Konsulta package,percent distribution,households,none stated,household wf,"Q56_YAKAP_UNDERSTAND, Q56_YAKAP_UNDERSTAND_OTHER_TXT",mapped,(checkbox multi); correct-benefit scoring derived at analysis
3.9,3,F4,"Percentage distribution of household respondents’ top challenges in registration to PhilHealth for those who have undergone the registration process (including those who did not register successfully) in the past year, by province",percent distribution,households who have undergone the registration process,by province,household wf,"Q81_REG_DIFFICULTY, Q82_DIFFICULTY_REASONS, Q82_DIFFICULTY_REASONS_OTHER_TXT",partial,(checkbox multi); no 'underwent registration in past yr incl unsuccessful' flag; approx universe via Q45_1_PIN_REG_WHEN
3.10,3,F4,"Percent distribution of household respondents by type of PhilHealth membership who self-report to have struggled to pay premiums in the past year, by province",percent distribution,household PhilHealth members,by PhilHealth membership type × province,household wf,"Q87_PREMIUM_DIFFICULT, Q46_MEMBER_CATEGORY",mapped,Membership type Q46 is roster-level (respondent row); Q86 premium-pay gate; Q88 reasons
3.11,3,F4,"Percentage distribution of household respondents in HCPN that were referred from YAKAP/Konsulta provider or primary care provider, for most recent interaction, by province",percent distribution,households in HCPN,by province,household wf,"Q108_REFERRED, Q119_PCF_REFERRAL",partial,"No HCPN-membership flag; Q119 = referral from primary care facility, most recent visit; YAKAP-provider referral not distinguished"
3.12,3,F4,"Percent distribution of household respondents that received assistance in making the appointment for that visit, by province",percent distribution,households,by province,household wf,"Q115_HELPED_APPT, Q123_PCP_HELPED_APPT",mapped,Two paths: referral chain Q115 vs non-referral PCP chain Q123; Section K gated on Q108=Yes
3.13,3,F4,"Percent distribution of household respondents that received assistance by discussing with them the different places they could visit to address their health problem, by province",percent distribution,households,by province,household wf,"Q114_DISCUSSED_PLACES, Q122_PCP_DISCUSSED_PLACES",mapped,Two paths: Q114 (referral) vs Q122 (PCP); Section K gated on Q108=Yes
3.14,3,F4,Households' overall satisfaction rate with the referral system process for most recent interaction at the time of survey,percent,households,none stated,household wf,"Q118_SAT_REFERRAL_PROCESS, Q125_SAT_REFERRAL_EXP",mapped,"Two 5-pt satisfaction items: referral path Q118, non-referral PCP path Q125"
3.15,3,F4,"Percentage distribution of household respondents who can correctly define a generic drug, by province",percent distribution,households,by province,household wf,Q75_BRAND_GEN_KNOWS,partial,Self-reported Y/N knowledge only; no scored 'define a generic drug' item to verify correctness
3.16,3,F4,"Percentage distribution of household respondents who chose a generic drug when buying medication, for last interaction, by province",percent distribution,households,by province,household wf,Q76_BRAND_OR_GEN,mapped,Scope = meds bought outside GAMOT pharmacy; code 3 = both branded and generic
3.17,3,F4,"Percentage distribution of household respondents’ reasons to purchase generic options (prescribed by doctor, cheaper, etc.) in the past 6 months, by province",percent distribution,households,by province,household wf,"Q77_WHY_GENERIC, Q77_WHY_GENERIC_OTHER_TXT",mapped,(checkbox multi)
3.18,3,F4,"Percentage distribution of household respondents’ reasons to purchase branded options (prescribed by doctor, cheaper, etc.) in the past 6 months, by province",percent distribution,households,by province,household wf,"Q78_WHY_BRANDED, Q78_WHY_BRANDED_OTHER_TXT",mapped,(checkbox multi)
3.19,3,F4,"Percent distribution of household respondents that accessed medications for free or subsidized, in the last 6 months, by province",percent distribution,households,by province,household wf,"Q72_GAMOT_OBTAINED, Q74_WHERE_REST",partial,No direct free/subsidized item; derive from Q72 (GAMOT free meds) + Q74 codes 05-08 'received for free' (checkbox multi)
3.20,3,F4,"Percent distribution of household respondents’ top sources of medicine subsidization (i.e., LGU, employer, etc.) in the past 6 months",percent distribution,households,none stated,household wf,"Q74_WHERE_REST, Q74_WHERE_REST_OTHER_TXT",partial,Free-source codes cover PCP/LGU/public/private hospital only; no employer or dedicated subsidy-source item (checkbox multi)
3.21,3,F4,"Percentage distribution of household respondents that have accessed alternate financial assistance program/s to help cover medical costs, for most recent interaction, out of all patients",percent distribution,households (all patients),none stated,household wf,"Q143_HOW_PAID, Q103_CARE_TYPE",partial,No direct assistance-program item; derive Q143 codes 06-08 (+04/05 coping); MAIFIP use not asked; all-patient base via Q103
3.22,3,F4,"Percentage distribution of household respondents that have accessed alternate financial assistance program/s to help cover medical costs, for most recent interaction, out of billed patients",percent distribution,households (billed patients),none stated,household wf,"Q143_HOW_PAID, Q139_FINAL_AMOUNT_PHP, Q140_RECALL_BREAKDOWN",partial,Same Q143 derivation as 3.21; billed universe derived via Q139>0/Q140; Q142=No skips Q143
3.23,3,F4,"Percentage distribution of household respondents that experience incidence of reduced care due to financial reasons, for most recent interaction",percent distribution,households,none stated,household wf,"Q197_DELAYED_CARE, Q198_NOT_FOLLOWED",mapped,'Reduced care' = P block: delayed care Q197 + not-fully-followed advice Q198 (financial reasons); distinct from forgone 3.24/3.25
3.24,3,F4,"Percentage distribution of household respondents that experience incidence of forgone care due to financial reasons, for most recent interaction",percent distribution,households,none stated,household wf,"Q105_FORGONE_CARE, Q106_FORGONE_WHY",mapped,printed with identical description to Table 3.25 | Financial-reason filter via Q106 code 02 'too expensive'; Q196_FOREGONE gives type of care foregone
3.25,3,F4,"Percentage distribution of household respondents that experience incidence of forgone care due to financial reasons, for most recent interaction",percent distribution,households,none stated,household wf,"Q105_FORGONE_CARE, Q106_FORGONE_WHY",mapped,"printed with identical description to Table 3.24 | As printed, identical to 3.24 - same source mapping"
3.26,3,F4,Percentage distribution of household respondents who have heard about ZBB,percent distribution,households,none stated,household wf,Q132_ZBB_HEARD,mapped,
3.27,3,F4,Percentage distribution of household respondents’ top information sources about ZBB,percent distribution,households,none stated,household wf,"Q133_ZBB_SOURCE, Q133_ZBB_SOURCE_OTHER_TXT",mapped,(checkbox multi); gated on Q132=Yes
3.28,3,F4,Percentage distribution of household respondents who can correctly identify the benefits under ZBB,percent distribution,households,none stated,household wf,"Q134_ZBB_UNDERSTAND, Q134_ZBB_UNDERSTAND_OTHER_TXT",mapped,(checkbox multi); correct-benefit scoring derived at analysis
3.29,3,F4,Percentage distribution of household respondents who have heard about BUCAS,percent distribution,households,none stated,household wf,Q57_BUCAS_HEARD,mapped,Block gated on AREA_HAS_BUCAS - denominator excludes non-BUCAS areas
3.30,3,F4,Percentage distribution of household respondents’ top information sources about BUCAS,percent distribution,households,none stated,household wf,"Q58_BUCAS_SOURCE, Q58_BUCAS_SOURCE_OTHER_TXT",mapped,(checkbox multi)
3.31,3,F4,Percentage distribution of household respondents who can correctly identify the benefits under BUCAS,percent distribution,households,none stated,household wf,"Q59_BUCAS_UNDERSTAND, Q59_BUCAS_UNDERSTAND_OTHER_TXT",mapped,(checkbox multi); correct-benefit scoring derived at analysis
3.32,3,F4,Percentage distribution of household respondents’ mostly accessed services in BUCAS centers,percent distribution,households,none stated,household wf,"Q60_BUCAS_ACCESSED, Q61_BUCAS_SERVICES, Q61_BUCAS_SERVICES_OTHER_TXT",mapped,"(checkbox multi); universe = Q60=Yes accessors, last 6 months"
3.33,3,F4,Percentage distribution of household respondents who have heard about GAMOT,percent distribution,households,none stated,household wf,Q69_GAMOT_HEARD,mapped,Block gated on AREA_HAS_GAMOT - denominator excludes non-GAMOT areas
3.34,3,F4,Percentage distribution of household respondents’ top information sources about GAMOT,percent distribution,households,none stated,household wf,"Q70_GAMOT_SOURCE, Q70_GAMOT_SOURCE_OTHER_TXT",mapped,(checkbox multi)
3.35,3,F4,Percentage distribution of household respondents who can correctly identify the benefits under GAMOT,percent distribution,households,none stated,household wf,"Q71_GAMOT_UNDERSTAND, Q71_GAMOT_UNDERSTAND_OTHER_TXT",mapped,(checkbox multi); correct-benefit scoring derived at analysis
3.36,3,F4,Descriptive statistics of socio-demographic characteristics of the household sample,descriptive stats,households,none stated,household wf,"Q2_1_AGE, Q3_SEX, Q4_LGBTQIA, Q5_GROUP, Q6_CIVIL_STATUS, Q7_IS_PWD, Q11_EDUCATION, Q12_EMPLOYMENT, Q13_INCOME_SOURCE, Q14_IP_MEMBER, Q16_4PS, Q18_INCOME_BRACKET, Q19_HH_SIZE_TOTAL, Q20_HH_CHILDREN, Q21_HH_SENIORS, Q29_SOCIOECONOMIC_CLASS, Q32_AGE, Q33_SEX, Q34_RELATIONSHIP, Q40_EDUCATION, Q41_EMPLOYMENT",mapped,Respondent B-block + roster C-block; Q3_SEX has extra 'Other' code (codebook 15.A sex_other flag)
4.1,4,F2,"Number of healthcare workers per facility at point of survey, across level of facility and type of worker",summary,facilities,by facility level × worker type,HCW wf,"facility_id, Q5",partial,no headcount item in F2/F1; derive respondent count per facility_id x Q5. F2=census in facilities; wt=facility base wt x NR (SSRCS A-d)
4.2,4,F2,"Average gap (%) in health workers per facility over the past year at the time of survey, across level of facility and type of worker",average,facilities,by facility level × worker type,HCW wf,,gap,no vacancy/plantilla item in F2 or F1 (F1 Q35/Q36 staffing items are qualitative); needs admin/HRH source (e.g. DOH HRH deployment reports)
4.3,4,F2,Percentage distribution of healthcare worker respondents who have ever heard about UHC,percent distribution,HCWs in selected facilities,none stated,HCW wf,Q12,mapped,
4.4,4,F2,Percentage distribution of healthcare worker respondents who reported doing tasks that could be completed by a more junior staff,percent distribution,HCWs in selected facilities,none stated,HCW wf,"Q91, Q92, Q93",mapped,"printed with identical description to Table 4.5 | same source as 4.5 (as printed, identical)"
4.5,4,F2,Percentage distribution of healthcare worker respondents who reported doing tasks that could be completed by a more junior staff,percent distribution,HCWs in selected facilities,none stated,HCW wf,"Q91, Q92, Q93",mapped,"printed with identical description to Table 4.4 | same source as 4.4 (as printed, identical)"
4.6,4,F2,Percentage distribution of healthcare worker respondents' reasons for taking on tasks that should be performed by a different role,percent distribution,HCWs in selected facilities,none stated,HCW wf,Q94,mapped,
4.7,4,F2,Percentage distribution of healthcare worker respondents’ views on Task Sharing across roles,percent distribution,HCWs in selected facilities,none stated,HCW wf,Q95,mapped,
4.8,4,F2,"Percentage distribution of healthcare worker respondents who reported receiving adequate support from their facilities to implement changes related to UHC, in the past year",percent distribution,HCWs in selected facilities,none stated,HCW wf,"Q96, Q97",mapped,
4.9,4,F2,"Percentage distribution of healthcare worker respondents who reported receiving adequate support from their facilities to implement changes related to UHC, in the past year (continued)",percent distribution,HCWs in selected facilities,none stated,HCW wf,"Q96, Q97",mapped,printed as (continued) of Table 4.8 | same source battery as 4.8
4.10,4,F2,"Percentage distribution of healthcare worker respondents who would consider becoming YAKAP/Konsulta providers, if not already registered",percent distribution,HCWs not already registered as YAKAP/Konsulta providers,none stated,HCW wf,"Q38, Q34",mapped,Q38 would-consider distribution; universe filter Q34 != Yes (not already accredited)
4.11,4,F2,"Percentage distribution of healthcare worker respondents’ satisfaction on compensation, over the past 6 months",percent distribution,HCWs in selected facilities,none stated,HCW wf,"Q98, Q99, Q100",mapped,"Grid#1 compensation rows, 6-month recall"
4.12,4,F2,"Percent of facilities who provide adequate professional development opportunities for healthcare workers, over the past 6 months",percent,facilities,none stated,HCW wf,"Q112, facility_id",partial,facility-level % from HCW-level Q112 ('None'=not provided) aggregated by facility_id; aggregation rule needs DOH sign-off
4.13,4,F2,"Percentage distribution of healthcare worker respondents’ satisfaction on available professional development/training opportunities, over the past 6 months",percent distribution,HCWs in selected facilities,none stated,HCW wf,Q107,mapped,Grid#1 prof-dev satisfaction row; provision side = Q112/Q113
4.14,4,F2,"Percentage distribution of healthcare worker respondents rating on the intensity of workload based on amount of overtime, over the past 6 months",percent distribution,HCWs in selected facilities,none stated,HCW wf,"Q114, Q122",mapped,Q114 Grid#2 overtime frequency; Q122 overtime amount (asked unless Q114=Never)
4.15,4,F2,"Percentage distribution of healthcare worker respondents’ satisfaction rating, over the past 6 months",percent distribution,HCWs in selected facilities,none stated,HCW wf,Q98-Q107,partial,no single overall-satisfaction item; Grid#1 agreement battery — composite/derivation rule needed
4.16,4,F2,"Percentage distribution of healthcare worker respondents on top factors for job satisfaction and dissatisfaction, over the last 6 months",percent distribution,HCWs in selected facilities,none stated,HCW wf,"Q98-Q107, Q114-Q121",partial,no direct top-factors item; derive factor ranking from Grid#1/Grid#2 batteries — derivation rule needs DOH sign-off
4.17,4,F2,Percentage distribution of healthcare worker respondents who intended to leave current post in the next year,percent distribution,HCWs in selected facilities,none stated,HCW wf,Q123,partial,Q123 captures intent strength but no explicit next-year horizon
4.18,4,F2,Percentage distribution of healthcare worker respondents on top reasons for healthcare workers who intend to leave in less than a year,percent distribution,HCWs who intend to leave in less than a year,none stated,HCW wf,Q124,partial,Q124 reasons; universe Q123=any yes — '<1 year' horizon not captured by Q123
4.19,4,F2,Percentage distribution of healthcare workers by role in the health facility,percent distribution,HCWs in selected facilities,by role in the health facility,HCW wf,Q5,mapped,
